用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
経路制御,４ア,ネットワーク層,パケットを正しい方向に送ること,0.376 ,0.346 ,,,実14日11,開S1,日J1日j1,開s1,日j1,,,,,,,,,
経路制御表,４ア,ネットワーク層,パケットを正しい方向に送るために使用する表,0.376 ,0.405 ,,,数11日11,数S1数s1,数J1日j1,数s1,日j1,,,,,,,,,
ルーティングテーブル,４ア,ネットワーク層,パケットを正しい方向に送るために使用する表,0.376 ,,,,実13日11,,,,,,,,,,,,,
DHCP,４ア,データリンク層,Dynamic Host Configuration Protocol。IPアドレス等を自動的に割り当てる,0.426 ,0.239 ,,,実11実12第11,,日j1,,日j1,,,,,,,,,
FTTH,４ア,データリンク層,Fiber To The Home。電話局から家庭の宅内まで光ファイバーで接続される方式,0.376 ,0.369 ,0.364 ,,日11第11,開S1数S1数s1,数J1数j1,数s1,数j1,実A2第A1一a1,第B1,開C1数C1第C1,一a1,,開c1,,,
MACアドレス,４ア,データリンク層,ネットワーク上のインターフェース1つずつが持つ固有のアドレス,0.426 ,0.258 ,,東21,東12実11実12,東S1日S1,実J1,,実j1,,,,,,,,,
VPN,４ア,データリンク層,Virtual Private Network。仮想専用線。通信の安全性を高められる,0.568 ,0.238 ,0.293 ,,東12実11実12実13数11,実S2,,実s2,,,,啓C1,,,啓f1,,,啓f1
有線LAN,４ア,有線LAN,有線で構築されたLAN,0.426 ,0.238 ,,,数11数12日11,日s1,,日s1,,,,,,,,,,
Ethernet|イーサネット|イーサーネット,４ア,有線LAN,有線でLANの接続をする時に多く使われている規格,0.426 ,0.453 ,0.478 ,,実13数11数12,実S1数S1数S2数s1,数J1数j1,実s1数s1,数j1,清a1,教b1,数C1,清a1暁d1学d1,教b1教e1,数c1,清d1数d1暁d1学d1,教e1清e1,数f1
ハブ,４ア,有線LAN,LANのインタフェースからの線を集約し相互に接続する機器,0.834 ,0.843 ,0.577 ,,東11東12実11実12実13数11数12日11日12第11,東S1実S1実S2開S1数S1数S2日S1日S2第S1日s1日s2,東J1実J2数J1日J1第J1日j1,実s1実s2開s1日s1日s2第s1,東j1実j2日j1,実a1清a1日a1,第B1,実C1数C1日C1実c1,実a1清a1日a1暁d1,第b1,実c1数c1日c1,日d1暁d1,学e1,清f1数f1日f1
スイッチングハブ,４ア,有線LAN,ハブの一種で、データを行き先のインタフェースのみに中継するもの,0.426 ,,0.158 ,,実11実12開11,,,,,,,,東d1,,,東d1,,
スイッチ,４ア,有線LAN,ハブの一種で、データを行き先のインタフェースのみに中継するもの,0.568 ,,0.099 ,,実11実12実13日12第11,,,,,,第B1,,,,,,,
集線装置,４ア,有線LAN,複数の伝送路を収容、接続する装置の総称,0.376 ,0.238 ,,,実13日11,実S2,,実s2,,,,,,,,,,
無線LAN,４ア,無線LAN,無線で構築されたLAN,0.847 ,0.572 ,0.108 ,東21,東11東12実14開11数11数12日11日12第11,東S2数S1日S1日S2日s1日s2,東J1数J1日J1日j1,日s1日s2第s1,日j1,実A2,,日C1,,,,,,
Wi-Fi,４ア,無線LAN,IEEE 802.11規格に準拠した無線LAN機器に付けられるロゴ,0.767 ,0.536 ,,,東11東12開11数11数12日11日12第11,数S1数S2日S1数s1,東J1数J1日J1数j1,数s1,数j1,,,,,,,,,
IEEE 802.11|IEEE802.11,４ア,無線LAN,IEEEが定めている無線LANの標準規格,0.376 ,0.346 ,,,実13日11,実S1,日J1日j1,実s1,日j1,,,,,,,,,
アクセスポイント,４ア,無線LAN,無線LAN機器の基地局となる機器,0.667 ,0.101 ,0.181 ,,東12実14数11日11第11,,日J1,,,,,開C1,,,開c1,,,
ブロードバンド,４ア,デジタル通信,速度の速い通信回線を利用して大容量データをやりとりすること,0.376 ,0.238 ,0.602 ,,東12日11,日s2,,日s2,,実A2教A1日A1第A1実a1清a1一a1,,日C1一c1,実a1清a1一a1暁d1学d1,日b1,一c1,暁d1学d1,,
bps,４ア,デジタル通信,bits per second、ネット回線などで1秒間に何ビットを動かせるか(速さ)の単位,0.667 ,0.693 ,0.899 ,,東12実13開11数11第11,実S1実S2開S1数S1第S1日s1,東J1数J1第J1日j1,実s1実s2開s1日s1第s1,東j1日j1,,啓B1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1,東d1暁d1,,実c1開c1教c1数c1一c1日c1第c1実f1教f1啓f1,東d1暁d1,清e1,実f1教f1清f1啓f1数f1日f1第f1
ONU|光回線終端装置,４ア,デジタル通信,Optical Network Unit、光回線の信号を電気信号に変換して接続する装置,0.376 ,,,,実13第11,,,,,,,,,,,,,
5G,４ア,デジタル通信,高速・大容量の通信を実現する第5世代移動通信システム,0.376 ,,,実21日21,東12日11,,,,,,,,,,,,,
Bluetooth,４ア,デジタル通信,近距離での無線通信を行うための規格の1つ,0.376 ,0.101 ,,,実13日11,,日J1,,,,,,,,,,,
暗号,４ア,暗号,第三者が通信文を見ても特別な知識なしでは読めないように変換すること,0.426 ,0.442 ,0.596 ,,数11数12第11,数S1数S2第S1数s1,数J1第J1数j1,数s1,数j1,開A1清a1,数B1,数C1第C1オf1,清a1第a1,数b1,数c1第c1オf1,清d1,清e1数e1,清f1数f1オf1第f1
暗号化,４ア,暗号,もとの文(平文)を暗号文に変換すること,0.918 ,1.000 ,0.824 ,東21実21日21,東11東12実11実12実13実14開11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2日A1実a1一a1日a1実d1,実B1啓B1数B1日B1第B1実b1実e1,実C1開C1啓C1数C1日C1第C1実c1一c1実f1,実a1一a1日a1東d1実d1暁d1学d1,実b1日b1第b1実e1啓e1,実c1開c1一c1日c1第c1実f1一f1,東d1実d1暁d1学d1,実e1清e1啓e1日e1学e1,実f1清f1数f1一f1日f1第f1
暗号文,４ア,暗号,特別な知識なしでは読めないように変換したもの,0.608 ,0.608 ,0.099 ,実21,実11実12実13実14数12第11,開S1数S1数S2第S1数s1,実J1数J1第J1数j1,開s1数s1第s1,実j1数j1,,啓B1,,,,,,,
復号|復号化,４ア,暗号,暗号文をもとの文(平文)に変換すること,0.868 ,1.000 ,0.824 ,実21,東11東12実11実12実13実14数11数12日11日12第11,東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,実A1実A2日A1実a1日a1一d1,実B1開B1啓B1数B1オe1,実C1開C1啓C1数C1第C1実c1一c1実f1オf1,実a1日a1一d1オd1,開b1数b1啓e1オe1,実c1数c1一c1第c1実f1一f1オf1,一d1日d1オd1,開e1清e1啓e1オe1,実f1清f1数f1一f1オf1第f1
平文,４ア,暗号,暗号化する前の、もとの文,0.834 ,0.861 ,0.310 ,実21,東12実11実12実13実14数11数12日11日12第11,東S2実S2開S1数S1数S2日S2第S1数s1日s2,東J1実J1数J1第J1数j1日j1,東s1実s2開s1数s1日s2第s1,東j1実j1数j1日j1,,啓B1数B1,数C1,,数b1,数c1,,,数f1
鍵,４ア,暗号,暗号化で使用するデータ,0.727 ,0.652 ,0.293 ,,実11実12実13実14数11数12日11日12第11,実S1実S2開S1数S1数S2第S1,実J1数J1日J1第J1日j1,実s1実s2開s1第s1,実j1日j1,,啓B1,第C1,,,第c1,,清e1,第f1
シーザー暗号,４ア,暗号,各文字をアルファベット順で決まった数だけ環状にずらした文字に置き換える暗号,0.608 ,0.605 ,0.449 ,,実11実12実14数11数12第11,数S1数S2数s1日s1,実J2数J1第J1数j1,数s1日s1第s1,実j2数j1,,啓B1数B1第B1,数C1第C1,,数b1,数c1,,数e1,清f1
共通鍵方式|共通鍵暗号方式|秘密かぎ方式|秘密鍵方式|秘密鍵暗号方式,４ア,暗号,暗号化と復号の両方におなじ鍵を使用する暗号方式,0.805 ,0.729 ,0.712 ,東21日21,東12実11実12実13実14開11日11日12第11,実S1実S2開S1数S2日S1日S2第S1日s2,実J1実J2日J1第J1,実s1実s2開s1日s2第s1,実j1実j2,実A2実a1,実B1開B1第B1実b1,開C1第C1実c1実f1オf1,実a1,実b1開b1第b1,実c1開c1第c1実f1一f1オf1,,開e1学e1,実f1清f1一f1オf1第f1
公開かぎ暗号方式|公開鍵暗号方式,４ア,公開鍵暗号,暗号化と復号の両方に異なる鍵を使用する暗号方式,0.805 ,0.729 ,0.691 ,東21日21,東12実11実12実13実14開11日11日12第11,実S1実S2開S1数S2日S1日S2第S1日s2,実J1実J2日J1第J1,実s1実s2開s1日s2第s1,実j1実j2,教A1啓A1,開B1啓B1,開C1啓C1第C1一c1オf1,教a1教d1,開b1,開c1一c1第c1啓f1オf1,教d1,開e1,清f1啓f1オf1第f1
公開鍵,４ア,公開鍵暗号,公開鍵暗号において暗号化に使用される、広く知らされる鍵,0.635 ,0.608 ,0.596 ,実21,実11実12実13実14数11数12日11,実S1数S1数S2第S1数s1,実J1数J1第J1数j1,実s1数s1第s1,実j1数j1,清a1,啓B1数B1日B1教b1,実C1開C1数C1第C1オf1,清a1,教b1教e1,開c1第c1オf1,清d1,教e1,オf1第f1
秘密鍵,４ア,公開鍵暗号,公開鍵暗号において復号に使用される、秘密にされる鍵,0.635 ,0.608 ,0.596 ,実21,実11実12実13実14数11数12日11,実S1数S1数S2第S1数s1,実J1数J1第J1数j1,実s1数s1第s1,実j1数j1,清a1,啓B1数B1日B1教b1,実C1開C1数C1第C1オf1,教a1清a1教d1,教b1,開c1第c1オf1,教d1清d1,,オf1第f1
情報セキュリティ,４ア;１イ,情報セキュリティ,情報に関する安全性,0.891 ,0.814 ,0.181 ,東21実21日21,東11東12実11実12実14開11数12日11日12第11,東S1東S2実S2開S1数S1数S2日S1第S1数s1日s1,実J1数J1第J1数j1,実s2開s1数s1日s1第s1,実j1数j1,開A1,,数C1,,,数c1,,,
セキュリティポリシー|情報セキュリティポリシー,４ア,情報セキュリティ,企業や組織において実施する情報セキュリティ対策の方針や行動指針,0.847 ,1.000 ,0.328 ,東21実21日21,東11東12実13開11数11数12日11日12第11,東S2実S1実S2開S1数S1数S2日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1啓A1,,実C1啓C1実c1,,,実c1,,,
認証局|電子認証局,４ア;４イ,情報セキュリティ,電子署名において本人確認や電子証明書の発行などをおこなう機関,0.426 ,0.076 ,0.414 ,東21日21,実14日11日12,日S1,,,,,,啓C1日C1オf1,,,オf1,,,オf1
フールプルーフ|フール・プルーフ,４ア,情報セキュリティ,誤った操作を行っても重大な事故を招かないよう設計すること,0.426 ,0.346 ,0.310 ,日21,東11東12第11,東S1日S1,日J1日j1,,日j1,,オe1,,教a1教d1,オe1,,教d1,オe1,
フェイルセーフ|フェイル・セーフ|フェールセーフ,４ア,情報セキュリティ,エラーが発生してもそれが安全な状態に導くような設計や対策,0.426 ,0.555 ,0.695 ,日21,東11東12第11,東S1開S1日S1日S2日s1日s2,日J1,日s1日s2第s1,,,実B1開B1啓B1第B1実b1実e1,開C1第C1,教a1教d1,実b1第b1実e1啓e1,開c1第c1,教d1,実e1啓e1学e1,第f1
アクセス制御,４ア,アクセス制御と認証,情報等に誰がアクセスしてよいか管理すること,0.541 ,0.799 ,0.503 ,実21日21,実13実14数12第11,実S1実S2開S1数S1数S2日S1日S2数s1日s1日s2,実J1実J2数J1第J1数j1,実s1実s2開s1数s1日s1日s2第s1,実j1実j2数j1,実a1実d1,,実C1第C1実c1実f1,実a1実d1,,実c1第c1実f1,実d1,清e1,実f1第f1
アクセス権,４ア,アクセス制御と認証,情報等にアクセスできる権限,0.541 ,0.605 ,0.319 ,実21,実13実14日11第11,日S2日s2,実J1日J1第J1日j1,開s1日s2,実j1日j1,東A1,日B1,開C1,開a1,,啓f1,開d1,,啓f1
電子証明書,４ア,アクセス制御と認証,確かに本人であることを認証局が電子的に証明すること,0.568 ,0.536 ,0.223 ,,実13実14数12日11日12,数S1数S2数s1,実J1数J1数j1,数s1,実j1数j1,,数B1,数C1,,数b1,数c1,,,
電子認証,４ア;１イ,アクセス制御と認証,確かに本人であることを認証局が電子的に証明する技術,0.452 ,0.489 ,0.283 ,東21,東11東12実13実14,東S2実S2,東J1実J1,東s1実s2,東j1実j1,教A1,実B1実b1,,教a1教d1,実b1,,教d1,,
認証,４ア;１イ,アクセス制御と認証,ユーザが誰であるかを確認すること,0.628 ,0.489 ,0.622 ,東21,東11実13実14開11日11,,実J1日j1,,実j1日j1,東A1教A1啓A1第A1清a1,開B1啓B1日B1教b1,啓C1第C1,清a1第a1,教b1日b1第b1,第c1一f1,清d1第d1,清e1学e1,清f1一f1第f1
個人認証,４ア;１イ,アクセス制御と認証,ユーザが誰であるかを確認すること,0.473 ,0.555 ,0.495 ,,東12日12第11,開S1日S1日S2第S1日s1日s2,第J1,日s1日s2第s1,,教A1一a1,,開C1日C1一c1,一a1,,開c1一c1日c1,,日e1,日f1
生体認証,４ア;１イ,アクセス制御と認証,指紋や手の静脈などの生体情報を用いた認証,0.663 ,0.560 ,0.099 ,東21日21,東11東12実14数12日11日12,東S1東S2日S1日S2日s1日s2,実J1日J1日j1,東s1日s1日s2,実j1日j1,,数B1,,,,,,,
改ざん|改竄,４ア;１イ,アクセス制御と認証,情報を不当に書き換えること,0.473 ,0.467 ,0.596 ,,開11日12第11,開S1日S1第S1,第J1,開s1第s1,,開A1日A1日a1,開B1教b1,開C1第C1教c1,日a1,開b1教b1第b1教e1,開c1教c1第c1教f1,日d1,開e1教e1学e1,教f1第f1
2段階認証|二段階認証,４ア;１イ,アクセス制御と認証,認証を二段階異なる手段で行うこと,0.473 ,,,東21実21日21,数11日12第11,,,,,,,,,,,,,
フィルタリング,４ア,アクセス制限,主に未成年者の違法・有害なウェブサイトへのアクセスを制限すること,0.426 ,0.580 ,0.445 ,東21,東11東12実13,東S1実S1日S1日S2日s1,東J1実J2,実s1日s1第s1,東j1実j2,実A1開A1第A1,啓B1,第C1,開a1第a1,,第c1,開d1第d1,,第f1
ブラックリスト方式,４ア,アクセス制限,フィルタリングで、制限すべきサイトをリストアップする方式,0.452 ,0.258 ,0.293 ,,東12実11実12実13,実S1,東J1,実s1,東j1,第A1,,第C1,第a1,,第c1,,,第f1
ホワイトリスト方式,４ア,アクセス制限,フィルタリングで、許可すべきサイトをリストアップする方式,0.452 ,0.258 ,0.293 ,,東12実11実12実13,実S1,東J1,実s1,東j1,第A1,,第C1,第a1,,第c1,,,第f1
ディジタル署名|デジタル署名,４ア;１イ,誤りと改ざんの検出,電子文書に対する本人性や非改ざん性を示す方式で、公開鍵暗号技術を用いたもの,0.692 ,0.678 ,0.619 ,東21日21,東11東12実13実14数11数12第11,実S1実S2数S1数S2第S1数s1日s2,東J1実J1数J1第J1数j1,実s1数s1日s2第s1,東j1数j1,,数B1,実C1数C1実c1教c1一c1,,数b1,実c1教c1数c1一c1教f1,,数e1,教f1数f1
ハッシュ値,４ア,誤りと改ざんの検出,元データから決まった方法で計算される固定長の短い値,0.426 ,0.239 ,,実21,実13日11日12,,日j1,,日j1,,,,,,,,,
パリティチェック|パリティ検査,４ア;２ア;３ア,誤りと改ざんの検出,一連のビットに全体で1の数が偶数(奇数)になるようビットを付け加え、それをチェックすること,0.473 ,0.605 ,0.649 ,,東12実14数11,東S2数S1数S2数s1,実J2数J1日J1数j1,東s1数s1,実j2数j1,啓A1,啓B1,開C1啓C1数C1日C1一c1オf1,,,開c1数c1一c1オf1,,,数f1オf1
パリティビット,４ア;２ア;３ア,誤りと改ざんの検出,パリティチェックのために付け加えたビット,0.608 ,0.483 ,0.736 ,,実11実12実13実14数11第11,実S1実S2数S1数S2第S1,数J1第J1,実s1実s2,,第A1,,実C1数C1実c1教c1一c1実f1オf1,,,実c1教c1数c1一c1実f1教f1オf1,,清e1,実f1教f1数f1オf1
ブロックチェーン,４ア;４イ;１ウ,誤りと改ざんの検出,参加者がブロックを連鎖させて保管することで一部の悪者により改ざんされない技術,0.541 ,,,東21実21,東12実11実12第11,,,,,,,,,,,,,
パターンファイル,４ア,不正アクセス,アンチウィルスソフトが使用する、マルウェアのパターンを集めたファイル,0.376 ,0.362 ,0.178 ,,実13第11,数S1第S1数s1,数J1第J1,数s1,,実a1,日B1,,実a1,,,,,
DDoS攻撃|DoS攻撃,４ア,不正アクセス,特定サイトに多くのPCから集中してアクセスを行う攻撃方法,0.426 ,0.617 ,,,数11数12第11,数S1数S2第S1数s1,数J1日J1第J1数j1日j1,数s1第s1,数j1日j1,,,,,,,,,
パケットフィルタリング,４ア,不正アクセス,通過しようとするパケットを検査し、条件に合わないものは廃棄すること,0.376 ,0.346 ,0.181 ,日21,日11第11,,日J1日j1,,日j1,,,一c1,,,一c1,,,
アクセスログ,４ア;１イ,不正アクセス,情報にアクセスした者や日時などの記録,0.426 ,0.400 ,0.108 ,日21,実11実12第11,実S2日s1,,実s2日s1,,実A1,,啓C1,,,,,,
セキュリティホール|セキュリティーホール,４ア;１イ,不正アクセス,ソフトウェアの欠陥で、悪意あるソフトウェアに利用される可能性のあるもの,0.663 ,0.766 ,0.532 ,実21,実11実12実13開11日11第11,実S2開S1数S1日S2第S1数s1日s1日s2,数J1第J1数j1日j1,実s2開s1数s1日s1日s2第s1,数j1日j1,実A1教A1数A1日A1第A1,啓B1数B1日B1教b1,啓C1数C1日C1第C1,教a1教d1,教b1教e1,第c1,教d1,教e1,第f1
Firewall|ファイアウォール|ファイアウォール（防火壁）|ファイアーウォール|防火壁,４ア;１イ,不正アクセス,外部のネットと内部のネットの間に設置し、正当でないアクセスを防ぐ機器やソフト,1.000 ,1.000 ,0.915 ,東21日21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,実j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A1数A1日A1実a1清a1日a1実d1,実B1開B1啓B1数B1日B1第B1実b1教b1実e1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1,実a1開a1教a1清a1数a1日a1実d1教d1暁d1学d1,実b1開b1教b1日b1第b1実e1教e1,実c1開c1教c1数c1一c1日c1第c1実f1教f1啓f1,実d1開d1教d1清d1数d1日d1暁d1学d1,実e1開e1教e1清e1日e1学e1,実f1教f1清f1啓f1数f1日f1第f1
アンチウィルスソフト|アンチウイルスソフト|アンチウイルスソフトウェア|アンチウイルスプログラム|ウイルス対策ソフトウェア|ワクチンプログラム,４ア;１イ,不正アクセス,ウィルスなどのマルウェアを検出したりそれから防護するソフトウェア,0.767 ,0.915 ,0.577 ,東21,東11東12実13実14数11数12日11第11,東S1実S1開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1第J1数j1日j1,実s1開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,教A1日A1日a1一d1,,数C1第C1一c1,日a1一d1学d1,,数c1一c1第c1一f1,一d1学d1,,数f1一f1第f1
オーバーフロー,４ア;３ア,不正アクセス,(2) プログラムで用意した領域を越えてデータを読み込ませる攻撃方法,0.541 ,0.101 ,,,実14数11数12日12,,第J1,,,,,,,,,,,
IMAP,４ア,電子メール,受け取ったメールをサーバ内で保管し整理・アクセスできるプロトコル,0.805 ,0.742 ,0.516 ,東21,東11東12実11実12実13実14数12日12第11,東S1東S2実S2開S1数S1数S2日S1日S2数s1日s1,東J1数J1数j1,実s2数s1日s1第s1,東j1数j1,,,日C1第C1教c1,,,教c1第c1教f1,,,教f1第f1
